GCF_900129555.1	Flavobacterium defluvii
GCF_900106645.1	Flavobacterium degerlachei
GCF_000425445.1	Flavobacterium denitrificans DSM 15936
GCF_011392115.1	Flavobacterium difficile
GCF_027111355.2	Flavobacterium eburneipallidum
GCF_017352115.1	Flavobacterium endoglycinae
GCF_003634455.1	Flavobacterium endophyticum
GCF_000498495.1	Flavobacterium enshiense DK69
GCF_018069925.1	Flavobacterium erciyesense
GCF_036321945.1	Flavobacterium facile
GCF_003076455.1	Flavobacterium faecale
GCF_000425465.1	Flavobacterium filum DSM 17961
GCF_017948675.1	Flavobacterium flabelliforme
GCF_027111255.2	Flavobacterium flavigenum
GCF_038289905.1	Flavobacterium flavipallidum
GCF_020911905.1	Flavobacterium flavipigmentatum
GCF_900142775.1	Flavobacterium flevense
GCF_003312915.1	Flavobacterium fluviale
GCF_010645065.1	Flavobacterium fluviatile
GCF_900129545.1	Flavobacterium fluvii
GCF_004634245.1	Flavobacterium foetidum
GCF_900129405.1	Flavobacterium fontis
GCF_023634865.1	Flavobacterium fragile
GCF_007097365.1	Flavobacterium franklandianum
GCF_000425505.1	Flavobacterium frigidarium DSM 17623
GCF_002217275.1	Flavobacterium frigidimaris
GCF_900111075.1	Flavobacterium frigoris
GCF_025847275.1	Flavobacterium frigoritolerans
GCF_042787335.1	Flavobacterium fructosi
GCF_900143245.1	Flavobacterium fryxellicola
GCF_048158585.1	Flavobacterium galactosi
GCF_020911945.1	Flavobacterium galactosidilyticum
GCF_007097265.1	Flavobacterium gawalongense
GCF_027111295.1	Flavobacterium gelatinilyticum
GCF_000422685.1	Flavobacterium gelidilacus DSM 15343
GCF_017948595.1	Flavobacterium geliluteum
GCF_900107635.1	Flavobacterium gillisiae
GCF_001761465.1	Flavobacterium gilvum
GCF_039539765.1	Flavobacterium ginsengisoli
GCF_039539785.1	Flavobacterium ginsengiterrae
GCF_037478105.1	Flavobacterium ginsenosidimutans
GCF_003350545.1	Flavobacterium glaciei
GCF_900100165.1	Flavobacterium glycines
GCF_014138495.1	Flavobacterium gossypii
GCF_003003155.1	Flavobacterium granuli
GCF_029625295.1	Flavobacterium gyeonganense
GCF_036840915.1	Flavobacterium hankyongi
GCF_900142055.1	Flavobacterium haoranii
GCF_038289885.1	Flavobacterium helocola
GCF_002217285.1	Flavobacterium hercynium
GCF_000832125.1	Flavobacterium hibernum
GCF_020026925.1	Flavobacterium hibisci
GCF_004349145.1	Flavobacterium hiemivividum
GCF_004745595.1	Flavobacterium humi
GCF_023272795.1	Flavobacterium humidisoli
GCF_015182285.1	Flavobacterium hungaricum
GCF_002217335.1	Flavobacterium hydatis
GCF_009789235.1	Flavobacterium hydrocarbonoxydans
GCF_003202405.1	Flavobacterium hydrophilum
GCF_009915155.1	Flavobacterium ichthyis
GCF_000455605.1	Flavobacterium indicum GPTSA100-9 = DSM 17447
GCF_013389455.1	Flavobacterium inviolabile
GCF_006491595.2	Flavobacterium jejuense
GCF_000016645.1	Flavobacterium johnsoniae UW101
GCF_021650975.2	Flavobacterium jumunjinense
GCF_014305095.1	Flavobacterium kayseriense
GCF_029866485.1	Flavobacterium keumense
GCF_003076475.1	Flavobacterium kingsejongi
GCF_025909975.1	Flavobacterium lacisediminis
GCF_003268815.1	Flavobacterium lacus
GCF_027474525.2	Flavobacterium lacustre
GCF_003097655.1	Flavobacterium laiguense
GCF_010645075.1	Flavobacterium limi
GCF_003634755.1	Flavobacterium limicola
GCF_027111315.2	Flavobacterium limnophilum
GCF_000498535.1	Flavobacterium limnosediminis JC2902
GCF_002846575.1	Flavobacterium lindanitolerans
GCF_020905335.1	Flavobacterium lipolyticum
GCF_019613795.1	Flavobacterium litorale
GCF_965137575.1	Flavobacterium longum
GCF_011392125.1	Flavobacterium lotistagni
GCF_023635005.1	Flavobacterium luminosum
GCF_027111275.1	Flavobacterium luteolum
GCF_008806775.1	Flavobacterium luteum
GCF_003865365.1	Flavobacterium macacae
GCF_014486675.1	Flavobacterium macrobrachii
GCF_041729735.1	Flavobacterium magnesitis
GCF_003055625.1	Flavobacterium magnum
GCF_026870155.1	Flavobacterium marginilacus
GCF_040049085.1	Flavobacterium maritimum
GCF_047038255.1	Flavobacterium mekongense
GCF_048158545.1	Flavobacterium melibiosi
GCF_006385255.1	Flavobacterium microcysteis
GCF_900129585.1	Flavobacterium micromati
GCF_014305155.1	Flavobacterium muglaense
GCF_042677265.1	Flavobacterium myungsuense
GCF_004355225.1	Flavobacterium nackdongense
GCF_031326205.1	Flavobacterium nakdongensis
GCF_029625335.1	Flavobacterium nitratireducens
GCF_008369745.1	Flavobacterium nitrogenifigens
GCF_900100375.1	Flavobacterium noncentrifugens
GCF_042686225.1	Flavobacterium notoginsengisoli
GCF_025499515.1	Flavobacterium odoriferum
GCF_019702945.1	Flavobacterium okayamense
GCF_039749035.1	Flavobacterium olei
GCF_900099915.1	Flavobacterium omnivorum
GCF_002217355.1	Flavobacterium oncorhynchi
GCF_002204835.1	Flavobacterium oreochromis
GCF_014638005.1	Flavobacterium orientale
GCF_040703125.1	Flavobacterium ovatum
GCF_003097535.1	Flavobacterium pallidum
GCF_014639535.1	Flavobacterium palustre
GCF_030378165.1	Flavobacterium panacagri
GCF_024649945.1	Flavobacterium panacis
GCF_024499525.1	Flavobacterium panici
GCF_030409795.1	Flavobacterium paronense
GCF_900142715.1	Flavobacterium pectinovorum
GCF_003314435.2	Flavobacterium petrolei
GCF_900112575.1	Flavobacterium phragmitis
GCF_010119235.1	Flavobacterium phycosphaerae
GCF_004122145.1	Flavobacterium piscinae
GCF_020905345.1	Flavobacterium pisciphilum
GCF_001686925.1	Flavobacterium piscis
GCF_020905295.1	Flavobacterium piscisymbiosum
GCF_046000495.1	Flavobacterium plantiphilum
GCF_024638035.1	Flavobacterium plurextorum
GCF_014596575.1	Flavobacterium pokkalii
GCF_038739875.1	Flavobacterium polysaccharolyticum
GCF_042652765.1	Flavobacterium ponti
GCF_020026915.1	Flavobacterium potami
GCF_011751075.1	Flavobacterium poyangense
GCF_026810365.1	Flavobacterium praedii
GCF_042431625.1	Flavobacterium procerum
GCF_006491645.1	Flavobacterium profundi
GCF_015223105.1	Flavobacterium proteolyticum
GCF_034497725.1	Flavobacterium psychraquaticum
GCF_003312425.1	Flavobacterium psychrolimnae
GCF_013343195.2	Flavobacterium psychrophilum
GCF_018380615.1	Flavobacterium psychroterrae
GCF_003097635.1	Flavobacterium psychrotolerans
GCF_003403075.1	Flavobacterium psychrotrophum
GCF_023162025.1	Flavobacterium pygoscelis
GCF_042658345.1	Flavobacterium qiangtangense
GCF_042651145.1	Flavobacterium quisquiliarum
GCF_009741375.1	Flavobacterium rakeshii
GCF_004349315.1	Flavobacterium ranwuense
GCF_000737685.1	Flavobacterium reichenbachii
GCF_900182645.1	Flavobacterium resistens
GCF_007097245.1	Flavobacterium restrictum
GCF_004349195.1	Flavobacterium rhamnosiphilum
GCF_046000485.1	Flavobacterium rhizophilum
GCF_046000445.1	Flavobacterium rhizosphaerae
GCF_000378485.1	Flavobacterium rivuli WB 3.3-2 = DSM 21788
GCF_030643905.1	Flavobacterium rivulicola
GCF_900142735.1	Flavobacterium saccharophilum
GCF_004634195.1	Flavobacterium salilacus subsp. salilacus
GCF_900100625.1	Flavobacterium saliperosum
GCF_903819435.1	Flavobacterium salmonis
GCF_004349135.1	Flavobacterium sandaracinum
GCF_004797125.1	Flavobacterium sangjuense
GCF_000686885.1	Flavobacterium sasangense DSM 21067
GCF_030053345.1	Flavobacterium sedimenticola
GCF_023008245.1	Flavobacterium sediminilitoris
GCF_003148385.1	Flavobacterium sediminis
GCF_900129575.1	Flavobacterium segetis
GCF_014748335.1	Flavobacterium selenitireducens
GCF_000695795.1	Flavobacterium seoulense
GCF_003254585.1	Flavobacterium sharifuzzamanii
GCF_025847235.1	Flavobacterium shii
GCF_012911565.1	Flavobacterium silvaticum
GCF_004329815.1	Flavobacterium silvisoli
GCF_900110375.1	Flavobacterium sinopsychrotolerans
GCF_000422705.1	Flavobacterium soli DSM 19725
GCF_012911605.1	Flavobacterium solisilvae
GCF_045348165.1	Flavobacterium soyae
GCF_015277675.1	Flavobacterium soyangense
GCF_004122105.1	Flavobacterium stagni
GCF_014642915.1	Flavobacterium suaedae
