GCF_003946885.1	Specibacter cremeus
GCF_031846305.1	Spectribacter acetivorans
GCF_031846275.1	Spectribacter hydrogenoxidans
GCF_013409065.1	Spelaeicoccus albus
GCF_029589495.1	Speluncibacter jeojiensis
GCF_042435035.1	Sphaerimonospora cavernae
GCF_016863115.1	Sphaerimonospora thailandensis
GCF_003323745.1	Sphaerisporangium album
GCF_042658925.1	Sphaerisporangium aureirubrum
GCF_025506355.1	Sphaerisporangium corydalis
GCF_042654065.1	Sphaerisporangium dianthi
GCF_039537005.1	Sphaerisporangium flaviroseum
GCF_018531465.1	Sphaerisporangium fuscum
GCF_016863355.1	Sphaerisporangium krabiense
GCF_016863375.1	Sphaerisporangium melleum
GCF_023276435.1	Sphaerisporangium perillae
GCF_042665155.1	Sphaerisporangium rhizosphaerae
GCF_014207705.1	Sphaerisporangium rubeum
GCF_016863395.1	Sphaerisporangium rufum
GCF_014205275.1	Sphaerisporangium siamense
GCF_049674955.1	Sphaerisporangium viridialbum
GCF_000024985.1	Sphaerobacter thermophilus DSM 20745
GCF_022869165.1	Sphaerochaeta associata
GCF_000190435.1	Sphaerochaeta globosa str. Buddy
GCF_003429665.1	Sphaerochaeta halotolerans
GCF_000236685.1	Sphaerochaeta pleomorpha str. Grapes
GCF_015207835.1	Sphaerospermopsis aphanizomenoides LEGE 00250
GCF_028329225.1	Sphaerospermopsis kisseleviana CS-549
GCF_005402885.1	Sphaerospermopsis reniformis
GCF_019598945.1	Sphaerospermopsis torques-reginae ITEP-024
GCF_030405905.1	Sphaerothrix gracilis Ecp01
GCF_003201595.1	Sphaerotilus hippei
GCF_023734135.1	Sphaerotilus microaerophilus
GCF_004216565.1	Sphaerotilus mobilis
GCF_013410775.1	Sphaerotilus montanus
GCF_900156335.1	Sphaerotilus natans
GCF_008329925.1	Sphaerotilus sulfidivorans
GCF_013294065.1	Sphaerotilus uruguayifluvii
GCF_042648405.1	Sphingoaurantiacus capsulatus
GCF_004342685.1	Sphingobacterium alimentarium
GCF_005049105.1	Sphingobacterium alkalisoli
GCF_008124885.1	Sphingobacterium allocomposti
GCF_042686355.1	Sphingobacterium anhuiense
GCF_014692505.1	Sphingobacterium arenae
GCF_003071065.1	Sphingobacterium athyrii
