GCF_011752625.1	Candidatus Pantoea formicae
GCF_008632075.1	Candidatus Pantoea gossypiicola
GCF_011752615.1	Candidatus Pantoea multigeneris
GCF_013753875.1	Candidatus Pantoea persica
GCF_051136265.1	Candidatus Pantoea rara
GCF_007833795.1	Candidatus Pantoea soli
GCF_000757605.1	Candidatus Paracaedibacter symbiosus
GCF_026230195.1	Candidatus Paraluminiphilus aquimaris
GCF_012276695.1	Candidatus Pelagibacter giovannonii
GCF_000012345.1	Candidatus Pelagibacter ubique HTCC1062
GCF_014529625.1	Candidatus Pelagisphaera phototrophica
GCF_000689395.1	Candidatus Phaeomarinibacter ectocarpi
GCF_000731785.2	Candidatus Photodesmus anomalopis
GCF_000731795.2	Candidatus Photodesmus blepharonis
GCF_003015145.1	Candidatus Phycorickettsia trachydisci
GCF_003112735.1	Candidatus Phycosocius bacilliformis
GCF_030158815.1	Candidatus Phycosocius spiralis
GCF_028331445.1	Candidatus Phyllobacterium onerii
GCF_015100165.3	Candidatus Phytoplasma asiaticum
GCF_038505995.1	Candidatus Phytoplasma asteris
GCF_024425275.1	Candidatus Phytoplasma australasiaticum subsp. ipomoeae
GCF_030586845.1	Candidatus Phytoplasma bonamiae
GCF_030587225.1	Candidatus Phytoplasma citri
GCF_030586865.1	Candidatus Phytoplasma crotalariae
GCF_030586805.1	Candidatus Phytoplasma fabacearum
GCF_038024965.1	Candidatus Phytoplasma fraxini
GCF_030586975.1	Candidatus Phytoplasma gossypii
GCF_018024475.1	Candidatus Phytoplasma luffae
GCF_000026205.1	Candidatus Phytoplasma mali
GCF_032884545.1	Candidatus Phytoplasma melaleucae
GCF_016876135.2	Candidatus Phytoplasma meliae
GCF_003263355.1	Candidatus Phytoplasma oryzae
GCF_046896035.1	Candidatus Phytoplasma palmae
GCF_001189415.1	Candidatus Phytoplasma phoenicium
GCF_007821455.1	Candidatus Phytoplasma pini
GCF_013391955.1	Candidatus Phytoplasma pruni
GCF_036924415.2	Candidatus Phytoplasma prunorum
GCF_046600495.1	Candidatus Phytoplasma pyri
GCF_026821955.1	Candidatus Phytoplasma rubi
GCF_027594465.1	Candidatus Phytoplasma sacchari
GCF_040126175.1	Candidatus Phytoplasma solani
GCF_000495255.1	Candidatus Phytoplasma tritici
GCF_003640545.1	Candidatus Phytoplasma ziziphi
GCF_002287965.1	Candidatus Planktophila dulcis
GCF_002288325.1	Candidatus Planktophila lacus
GCF_002288365.1	Candidatus Planktophila limnetica
GCF_002288065.1	Candidatus Planktophila sulfonica
GCF_002288185.1	Candidatus Planktophila vernalis
GCF_002288145.1	Candidatus Planktophila versatilis
GCF_000292685.1	Candidatus Portiera aleyrodidarum BT-B-HRs
GCF_000441555.1	Candidatus Profftella armatura
GCF_020541265.1	Candidatus Profftia lariciata
GCF_904848675.1	Candidatus Profftia tarda
GCF_900066015.1	Candidatus Promineifilum breve
GCF_900089945.1	Candidatus Propionivibrio aalborgensis
GCF_000011565.2	Candidatus Protochlamydia amoebophila UWE25
GCF_001499655.1	Candidatus Protochlamydia naegleriophila
GCF_001545115.1	Candidatus Protochlamydia phocaeensis
GCF_964026685.1	Candidatus Providencia siddallii
GCF_004124255.1	Candidatus Pseudomonas adelgestsugas
GCF_048654275.1	Candidatus Pseudomonas auctus
GCF_001281385.1	Candidatus Pseudothioglobus singularis PS1
GCF_029910555.1	Candidatus Psyllophila symbiotica
GCF_000024465.1	Candidatus Puniceispirillum marinum IMCC1322
GCF_003391335.1	Candidatus Purcelliella pentastirinorum
GCF_964020115.1	Candidatus Regiella endosymbiont_of_Tuberolachnus salignus
GCF_963888935.1	Candidatus Regiella insecticola
GCF_013343005.1	Candidatus Reidiella endopervernicosa
GCF_019453995.1	Candidatus Rhabdochlamydia oedothoracis
GCF_015356815.2	Candidatus Rhabdochlamydia porcellionis
GCF_001078595.1	Candidatus Rhodobacter oscarellae
GCF_022760755.1	Candidatus Rhodoblastus alkanivorans
GCF_001854225.1	Candidatus Rhodoluna planktonica
GCF_003664375.1	Candidatus Rickettsia colombianensi
GCF_045865205.1	Candidatus Rickettsia kedanie
GCF_001881495.1	Candidatus Rickettsiella isopodorum
GCF_003966755.1	Candidatus Rickettsiella viridis
GCF_000093065.1	Candidatus Riesia pediculicola USDA
GCF_002073895.1	Candidatus Riesia pediculischaeffi
GCF_013342985.1	Candidatus Ruthia endofausta
GCF_000015105.1	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)
GCF_000392435.1	Candidatus Saccharimonas aalborgensis
GCF_015708635.1	Candidatus Sarcina troglodytae
GCF_016751895.1	Candidatus Sarmatiella mevalonica
GCF_002443295.1	Candidatus Scalindua japonica
GCF_000471645.3	Candidatus Schmidhempelia bombi str. Bimp
GCF_019923565.1	Candidatus Schneideria nysicola
GCF_026262685.1	Candidatus Seongchinamella marina
GCF_964187635.1	Candidatus Seribacter sulfatis
GCF_033372575.1	Candidatus Shikimatogenerans bostrichidophilus
GCF_018200315.1	Candidatus Shikimatogenerans silvanidophilus
GCF_003056015.1	Candidatus Similichlamydia epinepheli
GCF_003339615.1	Candidatus Similichlamydia laticola
GCF_008189685.1	Candidatus Sneabacter namystus
GCF_018777395.1	Candidatus Sodalis endolongispinus
GCF_000517405.1	Candidatus Sodalis pierantonii str. SOPE
GCF_000820765.1	Candidatus Soleaferrea massiliensis AP7
GCF_000425945.1	Candidatus Solirubrobacter pratensis
GCF_031528575.1	Candidatus Sororendozoicomonas aggregata
GCF_030253535.1	Candidatus Southlakia epibionticum
GCF_020541225.1	Candidatus Steffania adelgidicola
GCF_000455285.1	Candidatus Stoquefichus massiliensis AP9
GCF_020149915.1	Candidatus Sulfidibacterium hydrothermale
GCF_015265455.1	Candidatus Sulfurimonas baltica
GCF_015265475.1	Candidatus Sulfurimonas marisnigri
GCF_000477435.1	Candidatus Symbiobacter mobilis CR
GCF_018777385.1	Candidatus Symbiopectobacterium endolongispinus
GCF_001431085.1	Candidatus Symbiothrix dinenymphae
GCF_024259865.1	Candidatus Synchoanobacter obligatus
GCF_029582805.1	Candidatus Synechococcus calcipolaris G9
GCF_002018015.1	Candidatus Synechococcus spongiarum LMB bulk15N
GCF_009734445.1	Candidatus Syntrophocurvum alkaliphilum
GCF_004353895.1	Candidatus Syntrophosphaera thermopropionivorans
GCF_000828815.1	Candidatus Tachikawaea gelatinosa
GCF_900093605.1	Candidatus Terasakiella magnetica
GCF_041222825.1	Candidatus Thalassolituus haligoni
GCF_900070205.1	Candidatus Thermokryptus mobilis
GCF_001708955.1	Candidatus Thiodiazotropha endoloripes
GCF_001715975.1	Candidatus Thiodiazotropha endolucinida
