GCF_014489615.1	Streptomyces genisteinicus
GCF_002954775.1	Streptomyces geranii
GCF_031845665.1	Streptomyces gibsoniae
GCF_028401765.1	Streptomyces gilvifuscus
GCF_002082195.1	Streptomyces gilvosporeus
GCF_022513565.1	Streptomyces gilvus
GCF_024761905.1	Streptomyces ginkgonis
GCF_002154375.1	Streptomyces glaucescens
GCF_039533345.1	Streptomyces glaucosporus
GCF_039533365.1	Streptomyces glaucus
GCF_009811575.1	Streptomyces glebosus
GCF_000261345.2	Streptomyces globisporus C-1027
GCF_039529415.1	Streptomyces globosus
GCF_021462825.1	Streptomyces glomeratus
GCF_030719215.1	Streptomyces glycanivorans
GCF_021216675.1	Streptomyces gobiensis
GCF_039532985.1	Streptomyces gobitricini
GCF_027942015.1	Streptomyces goshikiensis
GCF_025165795.1	Streptomyces gossypii
GCF_013433285.1	Streptomyces gossypiisoli
GCF_031845845.1	Streptomyces gottesmaniae
GCF_045039555.1	Streptomyces gougerotii
GCF_039533385.1	Streptomyces graminearus
GCF_046718965.1	Streptomyces gramineus
GCF_052828665.1	Streptomyces graminifolii
GCF_001418565.1	Streptomyces graminilatus
GCF_030294945.1	Streptomyces graminofaciens
GCF_014534645.1	Streptomyces griseicoloratus
GCF_020010925.1	Streptomyces griseiscabiei
GCF_036189845.1	Streptomyces griseoaurantiacus
GCF_014655595.1	Streptomyces griseocarneus
GCF_001542625.1	Streptomyces griseochromogenes
GCF_014649995.1	Streptomyces griseoflavus
GCF_014673495.1	Streptomyces griseofuscus
GCF_014650015.1	Streptomyces griseoloalbus
GCF_000721185.1	Streptomyces griseolus
GCF_014656035.1	Streptomyces griseoluteus
GCF_014649595.1	Streptomyces griseomycini
GCF_051201135.1	Streptomyces griseorubens
GCF_001514205.1	Streptomyces griseoruber
GCF_003595235.1	Streptomyces griseorubiginosus
GCF_014656055.1	Streptomyces griseosporeus
GCF_030803725.1	Streptomyces griseoviridis
GCF_040685215.1	Streptomyces griseus
GCF_039537365.1	Streptomyces gulbargensis
GCF_021261325.1	Streptomyces guryensis
GCF_004348415.1	Streptomyces hainanensis
GCF_023277745.1	Streptomyces halobius
GCF_045207185.1	Streptomyces halstedii
GCF_013364095.1	Streptomyces harbinensis
GCF_004803895.1	Streptomyces hawaiiensis
GCF_052543575.1	Streptomyces hayashii
GCF_031845485.1	Streptomyces hazeniae
GCF_052983195.1	Streptomyces hebeiensis
GCF_028401405.1	Streptomyces heilongjiangensis
GCF_042431345.1	Streptomyces heliomycini
GCF_032656585.1	Streptomyces herbicida
GCF_031845785.1	Streptomyces hesseae
GCF_024539675.1	Streptomyces hilarionis
GCF_013912435.1	Streptomyces himalayensis subsp. aureolus
GCF_000158915.1	Streptomyces himastatinicus ATCC 53653
GCF_031845745.1	Streptomyces hintoniae
GCF_014650335.1	Streptomyces hiroshimensis
GCF_035918035.1	Streptomyces hirsutus
GCF_000376565.1	Streptomyces hokutonensis
GCF_003626535.1	Streptomyces hoynatensis
GCF_050871185.1	Streptomyces huangiella
GCF_021028635.1	Streptomyces huasconensis
GCF_020037025.1	Streptomyces huiliensis
GCF_001005085.2	Streptomyces humi
GCF_024436035.1	Streptomyces humicola
GCF_014649655.1	Streptomyces humidus
GCF_039538105.1	Streptomyces hundungensis
GCF_002217755.1	Streptomyces hyaluromycini
