GCF_011326735.1	Phycicoccus endophyticus
GCF_004025965.2	Phycicoccus flavus
GCF_044797865.1	Phycicoccus jejuensis
GCF_018729305.1	Phycicoccus mangrovi
GCF_016887965.1	Phycicoccus sonneratiae
GCF_000284115.1	Phycisphaera mikurensis NBRC 102666
GCF_014884385.1	Phycobacter azelaicus
GCF_038148855.1	Phycobacter sedimenti
GCF_003337575.1	Phyllobacterium bourgognense
GCF_003010955.1	Phyllobacterium brassicacearum
GCF_019991125.1	Phyllobacterium calauticae
GCF_020164455.1	Phyllobacterium chamaecytisi
GCF_003010935.1	Phyllobacterium endophyticum
GCF_030817885.1	Phyllobacterium ifriqiyense
GCF_003217235.1	Phyllobacterium leguminum
GCF_020164435.1	Phyllobacterium lublinensis
GCF_020731415.2	Phyllobacterium meliloti
GCF_004217385.1	Phyllobacterium myrsinacearum
GCF_013327855.1	Phyllobacterium pellucidum
GCF_002980495.1	Phyllobacterium phragmitis
GCF_003335045.1	Phyllobacterium salinisoli
GCF_003010965.1	Phyllobacterium sophorae
GCF_014192095.1	Phyllobacterium trifolii
GCF_002764115.1	Phyllobacterium zundukense
GCF_010550695.1	Phytoactinopolyspora alkaliphila
GCF_004138495.1	Phytoactinopolyspora endophytica
GCF_003287285.1	Phytoactinopolyspora halophila
GCF_010550675.1	Phytoactinopolyspora halotolerans
GCF_011320225.1	Phytoactinopolyspora limicola
GCF_010122465.1	Phytoactinopolyspora mesophila
GCF_000321045.1	Phytobacter massiliensis JC163
GCF_039409775.1	Phytobacter palmae
GCF_001022135.1	Phytobacter ursingii
GCF_027923225.1	Phytohabitans aurantiacus
GCF_039537485.1	Phytohabitans flavus
GCF_039541615.1	Phytohabitans houttuyneae
GCF_042433955.1	Phytohabitans kaempferiae
GCF_031085175.1	Phytohabitans maris
GCF_039543085.1	Phytohabitans rumicis
GCF_011764565.1	Phytohabitans suffuscus
GCF_003012345.1	Phytohalomonas tamaricis
GCF_016862855.1	Phytomonospora endophytica
GCF_900113905.1	Phytopseudomonas argentinensis
GCF_004327275.1	Phytopseudomonas daroniae
GCF_004327355.1	Phytopseudomonas dryadis
