GCF_050947145.1	Microtetraspora malaysiensis
GCF_001570405.1	Microtetraspora niveoalba
GCF_007993755.1	Microvenator marinus
GCF_016743775.1	Microvirga aerilata
GCF_003332305.1	Microvirga aerophila
GCF_015694465.1	Microvirga alba
GCF_017921815.1	Microvirga antarctica
GCF_016811235.1	Microvirga arabica
GCF_009910725.1	Microvirga arsenatis
GCF_016892765.1	Microvirga arvi
GCF_008757455.1	Microvirga brassicacearum
GCF_003347665.1	Microvirga calopogonii
GCF_003290125.1	Microvirga flavescens
GCF_000518665.1	Microvirga flocculans ATCC BAA-817
GCF_900102135.1	Microvirga guangxiensis
GCF_020532555.1	Microvirga lenta
GCF_034627025.1	Microvirga lotononidis
GCF_014191055.1	Microvirga lupini
GCF_009830105.1	Microvirga makkahensis
GCF_001006805.1	Microvirga massiliensis
GCF_013520865.1	Microvirga mediterraneensis
GCF_002741015.1	Microvirga ossetica
GCF_004458765.1	Microvirga pakistanensis
GCF_016892705.1	Microvirga pudoricolor
GCF_020089865.1	Microvirga puerhi
GCF_020595095.1	Microvirga rosea
GCF_020866965.1	Microvirga roseola
GCF_025460805.1	Microvirga sesbaniae
GCF_016734765.1	Microvirga soli
GCF_022808595.1	Microvirga solisilvae
GCF_016427565.1	Microvirga splendida
GCF_003350535.1	Microvirga subterranea
GCF_013307435.2	Microvirga terrae
GCF_015694425.1	Microvirga terrestris
GCF_011777495.1	Microvirga terricola
GCF_009363855.1	Microvirga thermotolerans
GCF_009296175.1	Microvirga tunisiensis
GCF_001017175.1	Microvirga vignae
GCF_025460875.1	Microvirga yunnanensis
GCF_016735695.1	Microvirga zambiensis WSM3693
GCF_003051865.1	Microvirgula aerodenitrificans
GCF_900104655.1	Millionella massiliensis
GCF_001552615.1	Millisia brevis NBRC 105863
GCF_018141525.1	Miltoncostaea marina
GCF_018141545.1	Miltoncostaea oceani
GCF_006351005.1	Miniimonas arenae
GCF_016458825.1	Miniphocaeibacter halophilus
GCF_900232905.1	Miniphocaeibacter massiliensis
GCF_047159735.1	Minisyncoccus archaeiphilus
GCF_002924445.1	Minwuia thermotolerans
GCF_001598255.1	Mitsuaria chitosanitabida ATCC BAA-476 = NBRC 102408
GCF_928722185.1	Mitsuokella jalaludinii
GCF_000155955.1	Mitsuokella multacida DSM 20544
GCF_007681265.1	Mixta calida
GCF_002953195.1	Mixta gaviniae
GCF_023517775.1	Mixta hanseatica
GCF_009914055.1	Mixta intestinalis
GCF_030283135.1	Mixta mediterraneensis
GCF_006517625.1	Mixta tenebrionis
GCF_002895925.1	Mixta theicola
GCF_000953855.2	Mizugakiibacter sediminis
GCF_900155555.1	Mobilibacterium timonense
GCF_030161635.1	Mobilicoccus caccae
GCF_000826525.2	Mobilicoccus massiliensis
GCF_000247995.1	Mobilicoccus pelagius NBRC 104925
GCF_003752155.1	Mobilisporobacter senegalensis
GCF_015999265.1	Mobilitalea sibirica
GCF_000196535.1	Mobiluncus curtisii ATCC 43063
GCF_000185445.1	Mobiluncus holmesii ATCC 35242
GCF_014204735.1	Mobiluncus mulieris
GCF_009695935.1	Mobiluncus porci
GCF_005930475.1	Modestobacter altitudinis
GCF_000761485.1	Modestobacter caceresii
GCF_005930495.1	Modestobacter excelsi
GCF_000306785.1	Modestobacter italicus
GCF_054177765.1	Modestobacter lacusdianchii
GCF_054780755.1	Modestobacter lapidis
GCF_014645755.1	Modestobacter marinus
GCF_010682105.1	Modestobacter muralis
GCF_007994135.1	Modestobacter roseus
GCF_014195485.1	Modestobacter versicolor
GCF_004117855.1	Modicisalibacter coralii
