GCF_036287335.1	Dietzia cinnamea
GCF_045689975.1	Dietzia kunjamensis
GCF_003096075.1	Dietzia lutea
GCF_044542495.1	Dietzia maris
GCF_018390595.1	Dietzia massiliensis
GCF_039525805.1	Dietzia natronolimnaea
GCF_001570845.1	Dietzia papillomatosis NBRC 105045
GCF_003096095.1	Dietzia psychralcaliphila
GCF_001659785.1	Dietzia timorensis
GCF_004366355.1	Dinghuibacter silviterrae
GCF_000018145.1	Dinoroseobacter shibae DFL 12 = DSM 16493
GCF_025567445.1	Diplocloster agilis
GCF_032380655.1	Diplocloster hominis
GCF_019042245.1	Diplocloster modestus
GCF_001687335.1	Dissulfuribacter thermophilus
GCF_022026155.1	Dissulfurimicrobium hydrothermale
GCF_012979235.1	Dissulfurirhabdus thermomarina
GCF_014701235.1	Dissulfurispira thermophila
GCF_004342425.1	Dokdonella fugitiva
GCF_042652785.1	Dokdonella ginsengisoli
GCF_900115085.1	Dokdonella immobilis
GCF_001632775.1	Dokdonella koreensis DS-123
GCF_039523175.1	Dokdonella soli
GCF_001653755.1	Dokdonia donghaensis DSW-1
GCF_042652845.1	Dokdonia genika
GCF_900188275.1	Dokdonia pacifica
GCF_042653865.1	Dokdonia ponticola
GCF_003688895.1	Dokdonia sinensis
GCF_000426905.1	Dolichospermum circinale AWQC131C
GCF_002368115.1	Dolichospermum compactum NIES-806
GCF_012516395.1	Dolichospermum flos-aquae CCAP 1403/13F
GCF_024584745.1	Dolichospermum heterosporum TAC447
GCF_028330815.1	Dolichospermum lemmermannii CS-548
GCF_005402965.1	Dolichospermum planctonicum
GCF_900100125.1	Dolosicoccus paucivorans
GCF_000245815.1	Dolosigranulum pigrum ATCC 51524
GCF_039830095.1	Dolosigranulum savutiense
GCF_001643235.1	Domibacillus aminovorans
GCF_001936625.1	Domibacillus antri
GCF_002237775.1	Domibacillus enclensis
GCF_001975785.1	Domibacillus epiphyticus
GCF_000970685.1	Domibacillus indicus
GCF_001750285.1	Domibacillus iocasae
GCF_001906925.1	Domibacillus mangrovi
GCF_000966195.1	Domibacillus robiginosus
GCF_000970675.1	Domibacillus tundrae
GCF_900115865.1	Donghicola eburneus
GCF_013377535.1	Donghicola mangrovi
GCF_003003355.1	Donghicola tyrosinivorans
GCF_003574735.1	Dongia deserti
GCF_004363235.1	Dongia mobilis
GCF_034044635.1	Dongia rigui
GCF_030715195.1	Dongia sedimenti
GCF_034044715.1	Dongia soli
GCF_003072645.1	Dongshaea marina
GCF_025567385.1	Dorea acetigenes
GCF_025567415.1	Dorea ammoniilytica
GCF_025567265.1	Dorea amylophila
GCF_025150245.1	Dorea formicigenerans
GCF_014287705.1	Dorea hominis
GCF_025150085.1	Dorea longicatena
GCF_900240315.1	Dorea phocaeensis
GCF_026671195.1	Draconibacterium aestuarii
GCF_010448835.1	Draconibacterium halophilum
GCF_010586825.1	Draconibacterium mangrovi
GCF_900111425.1	Draconibacterium orientale
GCF_000949475.1	Draconibacterium sediminis
GCF_051297175.1	Dryocola baronae
GCF_025215095.1	Dryocola boscaweniae
GCF_016756775.1	Dryocola clanedunensis subsp. sulfonylureivorans
GCF_051307045.1	Dryocola mayonis
GCF_051307055.1	Dryocola sharpae
GCF_004793885.1	Dubosiella muris
GCF_001945605.1	Dubosiella newyorkensis
GCF_020342335.1	Duffyella gerundensis
GCF_011090165.1	Duganella aceris
GCF_009674495.1	Duganella alba
GCF_009674565.1	Duganella aquatilis
GCF_040362985.1	Duganella caerulea
GCF_004614165.1	Duganella callida
GCF_012849375.1	Duganella dendranthematis
GCF_009857835.1	Duganella fentianensis
GCF_009857445.1	Duganella flavida
GCF_009674535.1	Duganella guangzhouensis
GCF_040369125.1	Duganella hordei
GCF_009857505.1	Duganella lactea
GCF_009857605.1	Duganella levis
GCF_009857535.1	Duganella margarita
GCF_001758785.1	Duganella phyllosphaerae
GCF_009857915.1	Duganella qianjiadongensis
GCF_009720825.1	Duganella radicis
GCF_040364205.1	Duganella rhizosphaerae
GCF_009857435.1	Duganella rivi
GCF_900143065.1	Duganella sacchari
GCF_019166075.1	Duganella violaceipulchra
GCF_009857655.1	Duganella vulcania
GCF_034479515.1	Duganella zoogloeoides
GCF_007830875.1	Dulcicalothrix desertica PCC 7102
GCF_004803915.1	Duncaniella dubosii
GCF_004766125.1	Duncaniella freteri
GCF_910574735.1	Duncaniella muricolitica
GCF_003024805.1	Duncaniella muris
GCF_928721995.1	Duodenibacillus massiliensis
GCF_000428845.1	Dyadobacter alkalitolerans DSM 23607
