GCF_003946655.1	Lapidilactobacillus achengensis
GCF_003946695.1	Lapidilactobacillus bayanensis
GCF_007989025.1	Lapidilactobacillus concavus
GCF_008831385.1	Lapidilactobacillus dextrinicus
GCF_003946675.1	Lapidilactobacillus gannanensis
GCF_024345205.1	Lapidilactobacillus luobeiensis
GCF_003946215.1	Lapidilactobacillus mulanensis
GCF_003946645.1	Lapidilactobacillus wuchangensis
GCF_006715055.1	Lapillicoccus jejuensis
GCF_000423285.1	Laribacter hongkongensis DSM 14985
GCF_003259745.1	Larkinella arboricola
GCF_042655385.1	Larkinella bovis
GCF_008727875.1	Larkinella humicola
GCF_026248825.1	Larkinella insperata
GCF_003858645.1	Larkinella knui
GCF_003334855.1	Larkinella punicea
GCF_003858635.1	Larkinella rosea
GCF_003703975.1	Larkinella soli
GCF_009668025.1	Larkinella terrae
GCF_026240105.1	Larsenimonas rhizosphaerae
GCF_023736155.1	Larsenimonas salina
GCF_031451775.1	Larsenimonas suaedae
GCF_001282625.1	Lascolabacillus massiliensis
GCF_025370785.1	Laspinema olomoucense D3b
GCF_025370875.1	Laspinema palackyanum D2c
GCF_004101845.1	Latilactobacillus curvatus JCM 1096 = DSM 20019
GCF_905332535.1	Latilactobacillus fragifolii
GCF_900258455.1	Latilactobacillus fuchuensis
GCF_009025875.1	Latilactobacillus graminis
GCF_009676365.1	Latilactobacillus sakei
